实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例,尺寸样式
CIRCLE,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,-475,0,25,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,250,84,250,-84,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,495,81,495,-81,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,505,81,505,-81,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,605,62,505,62,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,605,-62,505,-62,,,,,,,,,,,,
ARC,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,605,0,62,,,,,,270,90,,
CIRCLE,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,605,0,37.5,,,,,,,,,
CIRCLE,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,605,0,25,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-215,84,250,84,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-215,-84,250,-84,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,250,81,505,81,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,250,-81,505,-81,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-355,25,-215,25,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-355,-25,-215,-25,,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,-537,0,667,0,,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,-475,-75,-475,75,,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,605,-75,605,75,,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,RADIUS,,62,,-565.306,56.243,,,,,-475,0,,,,,142.314,164,,,,CUSTOM_DIMSTYLE
DIMENSION,尺寸线层,256,BYLAYER,-1,,,RADIUS,,62,,700.547,48.71,,,,,605,0,,,,,31.969,164,,,,CUSTOM_DIMSTYLE
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,120,<>,-355,120,-475,72,-355,62,,,,,,,0,32,,,,CUSTOM_DIMSTYLE
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,100,<>,605,115,505,0,605,0,,,,,,,0,32,,,,CUSTOM_DIMSTYLE
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,140,<>,-215,120,-355,62,-215,84,,,,,,,0,32,,,,CUSTOM_DIMSTYLE
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,1080,<>,605,-175.807,-475,-75,605,-83,,,,,,,0,32,,,,CUSTOM_DIMSTYLE
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X10,,,-545,110,,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: *X10,,,,,44.159,-62.107,2.679,0,,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X10,,,,,2.679,0,0,0,,,,,,,,,,,,
MTEXT,尺寸线层,0,BYLAYER,-1,,,,引用于: *X10,{\T1.1;耳环厚度60},,-100.891,21.027,,,,,,,,,,14,0,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X10,,,,,0,0,-103.072,0,,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X10,,,,,0,0,0,0,,,,,,,,,,,,
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X11,,,-512.524,-114.743,,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: *X11,,,,,23.4,96.935,11.589,0,,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X11,,,,,11.589,0,0,0,,,,,,,,,,,,
MTEXT,尺寸线层,0,BYLAYER,-1,,,,引用于: *X11,{\T1.1;内置销轴%%C50},,-107.787,20.586,,,,,,,,,,14,0,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X11,,,,,0,0,-109.383,0,,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X11,,,,,0,0,0,0,,,,,,,,,,,,
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X12,,,651.425,114.996,,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: *X12,,,,,-22.182,-66.953,-8.191,0,,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X12,,,,,-8.191,0,0,0,,,,,,,,,,,,
MTEXT,尺寸线层,0,BYLAYER,-1,,,,引用于: *X12,{\T1.1;耳环厚度60},,-7.614,20.834,,,,,,,,,,14,0,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X12,,,,,0,0,96.62,0,,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X12,,,,,0,0,0,0,,,,,,,,,,,,
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X13,,,651.425,-101.683,,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: *X13,,,,,-31.406,82.942,-6.927,0,,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X13,,,,,-6.927,0,0,0,,,,,,,,,,,,
MTEXT,尺寸线层,0,BYLAYER,-1,,,,引用于: *X13,{\T1.1;内置销轴%%C50},,-3.629,22.175,,,,,,,,,,14,0,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X13,,,,,0,0,110.942,0,,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X13,,,,,0,0,0,0,,,,,,,,,,,,
INSERT,0,256,BYLAYER,-1,,,,块名: 表格,,,865,-760,,,,,,,,,,,,,,,,
MTEXT,粗实线层,7,BYLAYER,-1,,,,引用于: 表格,{\W0.6;\T1.1;羿射旭减隔震张家口有限公司},,-476,165,,,,,,,,,,20,0,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-720,200,0,200,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,0,200,0,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,0,0,-720,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-720,0,-720,200,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-480,0,-480,200,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-240,0,-240,200,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-240,60,-720,60,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-240,100,-720,100,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-480,180,-720,180,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-480,160,-720,160,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-480,140,-720,140,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-480,120,-720,120,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-480,80,-720,80,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-480,40,-720,40,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-420,20,-420,100,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-360,0,-360,100,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-300,20,-300,100,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,0,150,-240,150,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,0,100,-240,100,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,0,50,-240,50,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-684,100,-684,200,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-576,100,-576,200,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-600,0,-600,100,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-660,0,-660,100,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-648,100,-648,200,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-520,100,-520,200,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-540,0,-540,100,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-160,0,-160,200,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格,,,,,-720,20,-240,20,,,,,,,,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;标记},,-714,118,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;处数},,-678,118,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;更改文件名},,-642,118,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;签名},,-557,118,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;日期},,-508,118,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;设计},,-700,97,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;制图},,-700,77,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;审核},,-700,58,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;材料},,-464,90,,,,,,,,,,14,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;数量},,-405,89,,,,,,,,,,14,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;重量},,-345,89,,,,,,,,,,14,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;比例},,-285,89,,,,,,,,,,14,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;项目名称},,-232,185,,,,,,,,,,16,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;零件名称},,-232,135,,,,,,,,,,16,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;产品型号},,-232,85,,,,,,,,,,16,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;图纸编号},,-230,35,,,,,,,,,,16,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;日期},,-580,96.31,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;日期},,-580,76.896,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;日期},,-580,56.696,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;日期},,-580,16.926,,,,,,,,,,12,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;第         页},,-450,13.806,,,,,,,,,,8,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;共         页},,-325,14.229,,,,,,,,,,8,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;XXX项目},,-160,185,,,,,,,,,,16,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;粘滞阻尼器},,-120,135,,,,,,,,,,16,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;VFD-300-30},,-125,83,,,,,,,,,,16,0,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格,{\W0.7;\T1.1;16},,-396,50,,,,,,,,,,14,0,,,,,
INSERT,0,256,BYLAYER,-1,,,,块名: 防尘罩_1,,,-215,0,,,,,,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,0,-65,0,65,,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,0,65,-3,65,,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-3,65,-3,-65,,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-3,-65,0,-65,,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-125,40,-3,40,,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-125,-40,-3,-40,,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-125,30,-3,30,,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-125,-30,-3,-30,,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-125,-40,-125,40,,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-125,28.5,-140,28.5,,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-125,-28.5,-140,-28.5,,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-125,27.5,-140,27.5,,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-125,-27.5,-140,-27.5,,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-10.833,50,11.261,50,,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,引用于: 防尘罩_1,,,,,-10.833,-50,11.261,-50,,,,,,,,,,,,
dimstyle,,,,,,,标准,,"{""dimtxt"": 3.5, ""dimclrd"": 0, ""dimasz"": 4.0, ""dimtad"": 1, ""dimjust"": 0, ""dimlwd"": -2, ""dimexo"": 0.0, ""dimscale"": 1, ""dimalt"": 0, ""dimadec"": 2, ""dimdsep"": 44}",,,,,,,,,,,,,,,,,,,
dimstyle,,,,,,,Standard,,"{""dimtxt"": 2.5, ""dimclrd"": 0, ""dimasz"": 2.5, ""dimtad"": 1, ""dimjust"": 0, ""dimlwd"": -2, ""dimexo"": 0.625, ""dimscale"": 1, ""dimalt"": 0, ""dimadec"": 2, ""dimdsep"": 44}",,,,,,,,,,,,,,,,,,,
dimstyle,,,,,,,CUSTOM_DIMSTYLE,,"{""dimtxt"": 3.5, ""dimclrd"": 3, ""dimasz"": 3.0, ""dimtad"": 1, ""dimjust"": 0, ""dimlwd"": -2, ""dimexo"": 0.0, ""dimscale"": 5.0, ""dimalt"": 0, ""dimadec"": 3, ""dimdsep"": 44}",,,,,,,,,,,,,,,,,,,
dimstyle,,,,,,,GB_尺寸,,"{""dimtxt"": 3.5, ""dimclrd"": 0, ""dimasz"": 4.0, ""dimtad"": 1, ""dimjust"": 0, ""dimlwd"": -2, ""dimexo"": 0.0, ""dimscale"": 1, ""dimalt"": 0, ""dimadec"": 2, ""dimdsep"": 44}",,,,,,,,,,,,,,,,,,,
dimstyle,,,,,,,GB_引出说明(1984),,"{""dimtxt"": 3.5, ""dimclrd"": 0, ""dimasz"": 4.0, ""dimtad"": 1, ""dimjust"": 0, ""dimlwd"": -2, ""dimexo"": 0.0, ""dimscale"": 1, ""dimalt"": 0, ""dimadec"": 2, ""dimdsep"": 44}",,,,,,,,,,,,,,,,,,,
dimstyle,,,,,,,GB_锥度(2003),,"{""dimtxt"": 3.5, ""dimclrd"": 0, ""dimasz"": 4.0, ""dimtad"": 1, ""dimjust"": 0, ""dimlwd"": -2, ""dimexo"": 0.0, ""dimscale"": 1, ""dimalt"": 0, ""dimadec"": 2, ""dimdsep"": 44}",,,,,,,,,,,,,,,,,,,
